what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296788125521
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296788143300
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296788154729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296788163815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296788168840
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296788283967
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296788330846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1296788349876
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1296788350025
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296788427332
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1296788428557
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1296788430423
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1296788430646
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1296788430737
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296788432544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296788438565
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1296788438573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296788438630
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296788440683
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296788440922
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296788445838
